status,num_keypoints1,num_keypoints2,num_matches,num_inliers,inlier_ratio,mean_error,median_error,std_error,p90_error,max_error,cond_H,log_cond_H,det_H,pair_id,augmentation_src,augmentation_tgt,original_src,original_tgt,pair_index,augmentation_index,defect_added,flag
success,201,287,76,7,0.09210526315789473,0.5478259280923469,0.6364786195762073,0.3310609590076468,0.9009678287877061,1.0488490617994424,17069.183887597268,9.745030004897307,0.8422670717028548,20250905_031525_20250905_031834,gaussian_blur_5x5,gaussian_blur_5x5,20250905_031525.jpg,20250905_031834.jpg,2,7,True,OK
success,600,562,138,8,0.057971014492753624,0.3173728983332411,0.20799108083868523,0.3187781169843999,0.6438874077500266,1.0982588252439023,172023.9778789911,12.055389152352642,1.8034066652918068,20250905_031525_20250905_031834,brightness_0.9,brightness_0.9,20250905_031525.jpg,20250905_031834.jpg,2,2,True,OK
success,731,660,161,8,0.049689440993788817,0.5090596591292715,0.5336070632280427,0.3340073040534435,0.8818751958914604,0.8818751958914604,823.7130217020103,6.713822194614294,1.413680851869253,20250905_031525_20250905_031834,shift_5_5,shift_5_5,20250905_031525.jpg,20250905_031834.jpg,2,18,True,OK
success,727,650,161,7,0.043478260869565216,0.5295133375156097,0.2327542435960244,0.40829516829159257,1.0812814952169163,1.1222430035122335,7136.201596233005,8.872935924453994,0.8731198607614902,20250905_031525_20250905_031834,shift_-5_-5,shift_-5_-5,20250905_031525.jpg,20250905_031834.jpg,2,15,True,OK
success,507,489,115,7,0.06086956521739131,0.7305405490084524,0.8807429996320869,0.3908026873840536,1.1524271492753393,1.2213339871299727,2344.380404275486,7.75977642604298,1.113644046815206,20250905_031525_20250905_031834,brightness_0.8,brightness_0.8,20250905_031525.jpg,20250905_031834.jpg,2,1,False,OK
success,1280,911,258,8,0.031007751937984496,0.6704561503336832,0.8103041071704302,0.5373876959507329,1.2614021176107033,1.2752328172442151,789916.5967762956,13.579682645169017,7.2644329138228105,20250905_031525_20250905_031834,brightness_1.3,brightness_1.3,20250905_031525.jpg,20250905_031834.jpg,2,5,True,OK
success,374,432,100,9,0.09,0.6143156046352779,0.42507321962298,0.5032435987449483,1.29227006460746,1.350518534130237,5046.99545971827,8.526548386739753,0.8754384679724574,20250905_031525_20250905_031834,motion_blur_3,motion_blur_3,20250905_031525.jpg,20250905_031834.jpg,2,27,True,OK
success,798,573,198,9,0.045454545454545456,0.9181631091684215,0.9071199287297323,0.3267517514479241,1.3015957398422782,1.4060622557071567,49515.309747633764,10.810037188568145,0.9986952735216421,20250905_031541_20250905_031836,shift_5_5,shift_5_5,20250905_031541.jpg,20250905_031836.jpg,3,18,True,OK
success,588,403,145,14,0.09655172413793103,0.8875241080839334,0.9700433756362363,0.5481170891621641,1.3614589716206302,2.3535556239330777,272267.0697065536,12.514538737476391,0.6137611389362165,20250905_031541_20250905_031836,scale_0.95,scale_0.95,20250905_031541.jpg,20250905_031836.jpg,3,23,True,OK
success,626,445,163,13,0.07975460122699386,1.227029755262862,1.4042889322827832,0.8270524040134801,2.134287996721595,2.820214296419906,60662.07946890226,11.013074061382042,0.5920387148916999,20250905_031541_20250905_031836,rotation_5,rotation_5,20250905_031541.jpg,20250905_031836.jpg,3,22,False,OK
